ID,Full_Date_Collected,Month_Collected,Collectors,Weather,County,Locality,GPS_Cords,Time_Collected,Temp_When_Captured_F,Sex,Genus,Species,Date_Ran,Vial#_orControl,Mass_Before_CTmin_g,TC_CTmin_orControl,Start_Time_CTmin,End_Time_CTmin,CTmin_C,Mass_After_CTmin_g,TC_CTmax_orControl,Start_Time_CTmax,End_Time_CTmax,CTmax_C,Mass_After_CTmax_g,Vial_Mass_g,Field_Notes,Bee_Notes,Data_Notes
AMV0112,2023-Mar-26,March,"Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",12:49,50,Male,Colletes,Col. inaequalis,2023-Mar-26,12,6.6738,12,14:04,14:54,-1.65,6.6731,12,15:30,16:31,50.92,6.6662,6.6084,,,
AMV0113,2023-Mar-26,March,"Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",12:53,51,Male,Colletes,Col. inaequalis,2023-Mar-26,7,6.7036,7,14:04,14:58,-2.45,6.7029,7,15:30,16:30,49.62,6.6976,6.6255,,"Caught too late in CTmax machine, slugish after CTmax",
AMV0114,2023-Mar-26,March,"Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",12:53,51,Male,Colletes,Col. inaequalis,2023-Mar-26,15,6.7073,15,14:04,14:57,-2.91,6.7063,15,15:30,16:32,51.98,6.7001,6.6598,,,
AMV0115,2023-Mar-26,March,"Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",12:53,51,Male,Colletes,Col. inaequalis,2023-Mar-26,18,6.6694,18,14:04,14:55,-1.58,6.6681,18,15:30,16:30,49.34,6.6608,6.6116,,"Caught too late in CTmax machine, slugish after CTmax",
AMV0116,2023-Mar-26,March,"Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",12:53,51,Male,Colletes,Col. inaequalis,2023-Mar-26,Control2,6.7630,Control2,NA,NA,NA,6.7611,Control2,NA,NA,NA,6.7589,6.7099,,,
AMV0117,2023-Mar-29,March,"Jules_Cruz, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:13,50,Male,Colletes,Col. inaequalis,2023-Mar-29,23,6.6699,24,14:33,15:33,-2.42,6.6692,22,15:58,16:56,47.53,6.6636,6.5978,,,
AMV0118,2023-Mar-29,March,"Jules_Cruz, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:15,50,Male,Colletes,Col. inaequalis,2023-Mar-29,1,6.7219,1,14:33,15:29,-1.04,6.7211,1,15:58,17:00,49.82,6.7161,6.6427,,,
AMV0119,2023-Mar-29,March,"Jules_Cruz, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:16,50,Male,Colletes,Col. inaequalis,2023-Mar-29,13,6.6572,13,14:33,15:28,-2.98,6.6563,13,15:58,16:57,49.23,6.6498,6.5779,,,
AMV0120,2023-Mar-29,March,"Jules_Cruz, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:17,50,Male,Colletes,Col. inaequalis,2023-Mar-29,21,6.7353,21,14:33,15:29,-0.63,6.7344,21,15:58,16:56,49.64,6.7273,6.6582,,,
AMV0121,2023-Mar-29,March,"Jules_Cruz, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:18,50,Male,Colletes,Col. inaequalis,2023-Mar-29,15,6.6676,15,14:33,15:27,-1.85,6.6665,15,15:58,16:59,51.27,6.6616,6.6254,,"Caught late in the CTmax machine, was in the worst shape when put in the collection tubes to freeze but did NOT die",
AMV0122,2023-Mar-29,March,"Jules_Cruz, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:19,50,Male,Colletes,Col. inaequalis,2023-Mar-29,12,6.7295,12,14:33,15:25,-1.52,6.7282,12,15:58,16:54,48.94,6.7218,6.6649,,,
AMV0123,2023-Mar-29,March,"Jules_Cruz, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:21,50,Male,Colletes,Col. inaequalis,2023-Mar-29,8,6.7161,8,14:33,15:27,-1.60,6.7133,14,15:58,16:57,49.63,6.7080,6.6068,"First Female caught, caught mating with a male",Bee was pinned through thorax for indepth identification purposes,
AMV0124,2023-Mar-29,March,"Jules_Cruz, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:22,50,Male,Colletes,Col. inaequalis,2023-Mar-29,4,6.6702,4,14:33,15:23,2.42,6.6692,4,15:58,17:00,49.07,6.6629,6.6143,,"Caught late in the CTmin machine, recovered well after acclimating",
AMV0125,2023-Mar-29,March,"Jules_Cruz, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:25,50,Male,Colletes,Col. inaequalis,2023-Mar-29,Control1,6.7915,Control1,NA,NA,NA,6.7902,Control1,NA,NA,NA,6.7889,6.6898,Second Female,Bee was pinned through thorax for indepth identification purposes,
AMV0126,2023-Mar-29,March,"Jules_Cruz, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:26,50,Male,Colletes,Col. inaequalis,2023-Mar-29,7,6.6822,7,14:33,15:24,0.01,6.6812,11,15:58,16:55,49.69,6.6756,6.6260,,,
AMV0127,2023-Mar-29,March,"Jules_Cruz, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:27,50,Male,Colletes,Col. inaequalis,2023-Mar-29,5,6.7855,5,14:33,15:29,-0.77,6.7844,5,15:58,16:57,47.96,6.7786,6.7201,,,
AMV0128,2023-Mar-29,March,"Jules_Cruz, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:27,50,Male,Colletes,Col. inaequalis,2023-Mar-29,19,6.6617,19,14:33,15:26,-0.99,6.6608,19,15:58,16:57,49.09,6.6557,6.6080,,,
AMV0129,2023-Mar-29,March,"Jules_Cruz, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:28,50,Male,Colletes,Col. inaequalis,2023-Mar-29,Control2,6.7647,Control2,NA,NA,NA,6.7636,Control2,NA,NA,NA,6.7626,6.7155,,,
AMV0130,2023-Mar-29,March,"Jules_Cruz, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:28,50,Male,Colletes,Col. inaequalis,2023-Mar-29,16,6.7869,16,14:33,15:25,-0.20,6.7861,16,15:58,16:55,48.78,6.7815,6.7228,,,
AMV0131,2023-Mar-29,March,"Jules_Cruz, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:29,50,Male,Colletes,Col. inaequalis,2023-Mar-29,18,6.6576,18,14:33,15:24,0.02,6.6567,18,15:58,16:59,50.11,6.6517,6.5964,,,
AMV0132,2023-Mar-29,March,"Jules_Cruz, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:30,50,Male,Colletes,Col. inaequalis,2023-Mar-29,10,6.6879,10,14:33,15:33,-0.78,6.6871,10,15:58,16:58,50.26,6.6817,6.6307,,,"Channel 10 did not record CTmin for some reason, making CTmin end time 15:33 pm"
AMV0133,2023-Mar-29,March,"Jules_Cruz, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:30,50,Male,Colletes,Col. inaequalis,2023-Mar-29,2,6.7333,2,14:33,15:29,-0.55,6.7320,2,15:58,16:58,49.00,6.7248,6.6632,,,
AMV0134,2023-Apr-03,April,"Nash_Turley, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",15:18,64,Female,Andrena?,,2023-Apr-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Was let go since we did not catch any other andrena and had no controls, was caught on scilla flowers before entering the back of the park on a residential yard",,
AMV0135,2023-Apr-03,April,"Nash_Turley, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",15:22,64,Female,Colletes,Col. inaequalis,2023-Apr-03,19,6.7253,19,16:59,17:49,-1.96,6.7247,19,18:13,19:15,50.39,6.7153,6.6189,,,
AMV0136,2023-Apr-03,April,"Nash_Turley, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",15:24,64,Female,Colletes,Col. inaequalis,2023-Apr-03,21,6.7363,21,16:59,17:50,-0.71,6.7356,21,18:13,19:16,49.23,6.7292,6.6404,,Bee was pinned through thorax for indepth identification purposes,
AMV0137,2023-Apr-03,April,"Nash_Turley, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",15:25,64,Female,Colletes,Col. inaequalis,2023-Apr-03,3,6.7637,20,16:59,17:50,-2.60,6.7623,3,18:13,19:14,48.39,6.7497,6.6674,,Bee was pinned through thorax for indepth identification purposes,
AMV0138,2023-Apr-03,April,"Nash_Turley, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",15:26,64,Female,Colletes,Col. inaequalis,2023-Apr-03,17,6.7104,18,16:59,17:46,0.15,6.7093,17,18:13,19:11,49.35,6.7027,6.6097,,,
AMV0139,2023-Apr-03,April,"Nash_Turley, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",15:28,64,Female,Colletes,Col. inaequalis,2023-Apr-03,13,6.6808,13,16:59,17:47,-1.84,6.6795,13,18:13,19:12,49.34,6.6707,6.5836,,,
AMV0140,2023-Apr-03,April,"Nash_Turley, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",15:29,64,Female,Colletes,Col. inaequalis,2023-Apr-03,4,6.7101,4,16:59,17:47,1.19,6.7086,4,18:13,19:14,48.35,6.6978,6.6131,,,
AMV0141,2023-Apr-03,April,"Nash_Turley, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",15:30,64,Female,Colletes,Col. inaequalis,2023-Apr-03,Control1,6.7729,Control1,NA,NA,NA,6.7685,Control1,NA,NA,NA,6.7647,6.6902,,,
AMV0142,2023-Apr-03,April,"Nash_Turley, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",15:31,64,Female,Colletes,Col. inaequalis,2023-Apr-03,22,6.6847,22,16:59,17:49,-0.33,6.6827,22,18:13,19:21,51.76,6.6708,6.5581,,,
AMV0143,2023-Apr-03,April,"Nash_Turley, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",15:32,64,Female,Colletes,Col. inaequalis,2023-Apr-03,15,6.7550,15,16:59,17:47,-1.15,6.7537,15,18:13,19:13,50.73,6.7469,6.6600,,,
AMV0144,2023-Apr-03,April,"Nash_Turley, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",15:33,64,Female,Colletes,Col. inaequalis,2023-Apr-03,9,6.7329,9,16:59,17:49,-1.38,6.7320,10,18:13,19:19,50.37,6.7243,6.6127,,,
AMV0145,2023-Apr-03,April,"Nash_Turley, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",15:34,64,Female,Colletes,Col. inaequalis,2023-Apr-03,12,6.7084,12,16:59,17:48,-1.27,6.7078,12,18:13,19:10,49.13,6.7008,6.6094,,,
AMV0146,2023-Apr-03,April,"Nash_Turley, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",15:35,64,Female,Colletes,Col. inaequalis,2023-Apr-03,8,6.7080,8,16:59,17:50,-2.09,6.7068,18,18:13,19:16,50.97,6.6989,6.5977,,,
AMV0147,2023-Apr-03,April,"Nash_Turley, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",15:36,64,Female,Colletes,Col. inaequalis,2023-Apr-03,Control2,6.8204,Control2,NA,NA,NA,6.8169,Control2,NA,NA,NA,6.8138,6.7107,,,
AMV0148,2023-Apr-03,April,"Nash_Turley, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",15:37,64,Female,Colletes,Col. inaequalis,2023-Apr-03,5,6.8043,5,16:59,17:50,-0.69,6.8036,5,18:13,19:08,45.69,6.7976,6.6799,,,
AMV0149,2023-Apr-03,April,"Nash_Turley, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",15:38,64,Female,Colletes,Col. inaequalis,2023-Apr-03,16,6.8370,16,16:59,17:42,2.10,6.8352,16,18:13,19:12,49.57,6.8279,6.7398,,,
AMV0150,2023-Apr-03,April,"Nash_Turley, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",15:39,65,Female,Colletes,Col. inaequalis,2023-Apr-03,2,6.7691,11,16:59,17:48,-1.41,6.7679,2,18:13,19:13,48.59,6.7608,6.6576,,,
AMV0151,2023-Apr-03,April,"Nash_Turley, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",15:41,65,Female,Colletes,Col. inaequalis,2023-Apr-03,7,6.7260,7,16:59,17:48,-1.45,6.7248,11,18:13,19:12,50.40,6.7177,6.6259,,,
AMV0152,2023-Apr-03,April,"Nash_Turley, Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny_Partial_Clouds,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",15:42,65,Female,Colletes,Col. inaequalis,2023-Apr-03,14,6.7592,14,16:59,17:48,2.26,6.7578,14,18:13,19:13,49.92,6.7487,6.6459,,,
AMV0153,2023-Apr-05,April,"Grace_Gutierrez, Alejandro_Medina_Valencia",Cloudy_Rain,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:54,78,Female,Colletes,Col. inaequalis,2023-Apr-05,5,6.7955,5,14:54,15:46,-0.85,6.7925,5,16:13,17:19,50.48,6.7814,6.6837,,,
AMV0154,2023-Apr-05,April,"Grace_Gutierrez, Alejandro_Medina_Valencia",Cloudy_Rain,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:55,78,Female,Colletes,Col. inaequalis,2023-Apr-05,11,6.7209,11,14:54,15:43,-0.88,6.7179,11,16:13,17:17,52.53,6.7070,6.6221,,,
AMV0155,2023-Apr-05,April,"Grace_Gutierrez, Alejandro_Medina_Valencia",Cloudy_Rain,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:56,78,Female,Colletes,Col. inaequalis,2023-Apr-05,13,6.6987,13,14:54,15:40,-3.82,6.6963,13,16:13,17:11,48.14,6.6882,6.5632,,,
AMV0156,2023-Apr-05,April,"Grace_Gutierrez, Alejandro_Medina_Valencia",Cloudy_Rain,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:56,78,Female,Colletes,Col. inaequalis,2023-Apr-05,Control1,6.7910,Control1,NA,NA,NA,6.7872,Control1,NA,NA,NA,6.7820,6.6855,,,
AMV0157,2023-Apr-05,April,"Grace_Gutierrez, Alejandro_Medina_Valencia",Cloudy_Rain,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:57,78,Female,Colletes,Col. inaequalis,2023-Apr-05,10,6.7247,9,14:54,15:44,-1.60,6.7223,10,16:13,17:12,49.39,6.7140,6.6196,,,
AMV0158,2023-Apr-05,April,"Grace_Gutierrez, Alejandro_Medina_Valencia",Cloudy_Rain,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:57,78,Female,Colletes,Col. inaequalis,2023-Apr-05,3,6.7966,3,14:54,15:46,-0.29,6.7939,3,16:13,17:18,50.51,6.7861,6.6755,,,
AMV0159,2023-Apr-05,April,"Grace_Gutierrez, Alejandro_Medina_Valencia",Cloudy_Rain,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:57,78,Female,Colletes,Col. inaequalis,2023-Apr-05,6,6.7002,7,14:54,15:45,-1.12,6.6973,2,16:13,17:11,50.15,6.6896,6.5985,,,
AMV0160,2023-Apr-05,April,"Grace_Gutierrez, Alejandro_Medina_Valencia",Cloudy_Rain,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:58,78,Female,Colletes,Col. inaequalis,2023-Apr-05,21,6.7296,21,14:54,15:48,-1.30,6.7278,21,16:13,17:18,49.13,6.7219,6.6431,,,
AMV0161,2023-Apr-05,April,"Grace_Gutierrez, Alejandro_Medina_Valencia",Cloudy_Rain,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:59,78,Female,Colletes,Col. inaequalis,2023-Apr-05,1,6.7682,1,14:54,15:51,-2.69,6.7673,1,16:13,17:18,50.96,6.7597,6.6536,,,
AMV0162,2023-Apr-05,April,"Grace_Gutierrez, Alejandro_Medina_Valencia",Cloudy_Rain,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:59,78,Female,Colletes,Col. inaequalis,2023-Apr-05,17,6.7136,16,14:54,15:47,-1.80,6.7103,17,16:13,17:17,52.16,6.7008,6.6165,,,
AMV0163,2023-Apr-05,April,"Grace_Gutierrez, Alejandro_Medina_Valencia",Cloudy_Rain,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",14:00,78,Female,Colletes,Col. inaequalis,2023-Apr-05,14,6.7643,14,14:54,15:45,-3.35,6.7606,14,16:13,17:15,51.83,6.7527,6.6562,,,
AMV0164,2023-Apr-05,April,"Grace_Gutierrez, Alejandro_Medina_Valencia",Cloudy_Rain,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",14:00,78,Female,Colletes,Col. inaequalis,2023-Apr-05,15,6.7304,15,14:54,15:45,-2.10,6.7282,15,16:13,17:14,51.01,6.7218,6.6246,,,
AMV0165,2023-Apr-05,April,"Grace_Gutierrez, Alejandro_Medina_Valencia",Cloudy_Rain,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",14:01,78,Female,Colletes,Col. inaequalis,2023-Apr-05,8,6.7227,8,14:54,15:44,-0.95,6.7195,4,16:13,17:14,48.11,6.7120,6.6096,,,
AMV0166,2023-Apr-05,April,"Grace_Gutierrez, Alejandro_Medina_Valencia",Cloudy_Rain,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",14:01,78,Female,Colletes,Col. inaequalis,2023-Apr-05,Control2,6.8501,Control2,NA,NA,NA,6.8439,Control2,NA,NA,NA,6.8338,6.7170,,,
AMV0167,2023-Apr-05,April,"Grace_Gutierrez, Alejandro_Medina_Valencia",Cloudy_Rain,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",14:02,78,Female,Colletes,Col. inaequalis,2023-Apr-05,23,6.6897,24,14:54,15:42,-1.26,6.6865,22,16:13,17:10,50.76,6.6775,6.5890,,,
AMV0168,2023-Apr-05,April,"Grace_Gutierrez, Alejandro_Medina_Valencia",Cloudy_Rain,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",14:02,78,Female,Colletes,Col. inaequalis,2023-Apr-05,19,6.7213,19,14:54,15:44,-1.10,6.7207,19,16:13,17:15,49.23,6.7126,6.6130,,,
AMV0169,2023-Apr-05,April,"Grace_Gutierrez, Alejandro_Medina_Valencia",Cloudy_Rain,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",14:03,78,Female,Colletes,Col. inaequalis,2023-Apr-05,18,6.7745,18,14:54,15:45,-1.59,6.7729,18,16:13,17:13,49.41,6.7655,6.6657,,,
AMV0170,2023-Apr-12,April,"Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:39,77,Female,Andrena,And. cressonii,2023-Apr-12,23,6.6426,22,15:47,16:38,1.06,6.6431,22,17:27,18:24,49.29,6.6399,6.6055,,,"CONSIDER NOT USING THIS DATA. CTmax machine did not ramp for some reason, after changing our TO1 to be one higher than the plate temp it worked for some reason, just to note the larger time difference between both trials"
AMV0171,2023-Apr-12,April,"Grace_Gutierrez, Alejandro_Medina_Valencia",Sunny,Centre,Holmes_Foster_Park,"40.7841096, -77.8640188",13:40,77,Female,Andrena,And. phaceliae,2023-Apr-12,10,6.6604,15,15:47,16:39,1.70,6.6609,10,17:27,18:24,49.62,6.6591,6.6385,,,"CONSIDER NOT USING THIS DATA. CTmax machine did not ramp for some reason, after changing our TO1 to be one higher than the plate temp it worked for some reason, just to note the larger time difference between both trials"
